run_id,source_commit,checkpoint_sha256,policy_fingerprint,x_pose,y_pose,yaw,steps,episode_return,area_gain_m2,path_m,area_per_meter,navigation_successes,navigation_total,navigation_success_rate,elapsed_s,outcome,recorded_updates,policy_parameters_unchanged
pose_robustness_p1_001,b6dd40869bf40aa7d31385b08f53f21e0af33a7e,d4f873f2896174a295a238ef61f7fd2f5610c4ee4b54ce02794146788b3d255f,74f674467f629a43f8d9dbe4fb1f994def5e9adeddc5c01a22b97a6206bc3854,-2.0,-0.5,1.5708,5,9.362841396130992,10.612500316277151,12.496589201461587,0.8492317499750992,5,5,1.0,64.944,terminated,0,True
pose_robustness_p2_001,b6dd40869bf40aa7d31385b08f53f21e0af33a7e,d4f873f2896174a295a238ef61f7fd2f5610c4ee4b54ce02794146788b3d255f,74f674467f629a43f8d9dbe4fb1f994def5e9adeddc5c01a22b97a6206bc3854,-1.75,-0.5,-1.5708,9,15.956144159430842,17.537500522658235,15.813563632273937,1.1090163438471208,9,9,1.0,159.894,terminated,0,True
pose_robustness_p3_001,b6dd40869bf40aa7d31385b08f53f21e0af33a7e,d4f873f2896174a295a238ef61f7fd2f5610c4ee4b54ce02794146788b3d255f,74f674467f629a43f8d9dbe4fb1f994def5e9adeddc5c01a22b97a6206bc3854,-2.0,-0.25,3.1416,7,12.919364982201529,14.802500441148881,18.83135458947352,0.7860560625534228,7,7,1.0,164.898,terminated,0,True
