ros_time_s,collector_elapsed_s,exploration_elapsed_s,map_width_cells,map_height_cells,map_resolution_m,total_cells,known_cells,unknown_cells,explored_area_m2,initial_explored_area_m2,newly_explored_area_m2,known_fraction,coverage_pct,path_length_m,area_per_second,area_per_meter,goals_seen,goals_succeeded,goals_aborted,goals_canceled,goal_success_rate
57.876,0.0,0.0,111,103,0.05000000074505806,11433,1179,10254,2.947500087842346,2.947500087842346,0.0,0.1031225400157439,,0.0,0.0,0.0,0,0,0,0,0.0
62.784,4.908000000000001,0.0,111,103,0.05000000074505806,11433,1179,10254,2.947500087842346,2.947500087842346,0.0,0.1031225400157439,,0.0,0.0,0.0,0,0,0,0,0.0
67.785,9.908999999999999,0.0,111,103,0.05000000074505806,11433,1179,10254,2.947500087842346,2.947500087842346,0.0,0.1031225400157439,,0.0,0.0,0.0,0,0,0,0,0.0
72.78,14.904000000000003,4.983000000000004,111,103,0.05000000074505806,11433,2870,8563,7.175000213831665,2.947500087842346,4.2275001259893195,0.2510277267558821,,0.5583654273172808,0.8483845326087329,7.571206810387135,1,0,0,0,0.0
77.781,19.90500000000001,9.984000000000009,111,103,0.05000000074505806,11433,2870,8563,7.175000213831665,2.947500087842346,4.2275001259893195,0.2510277267558821,,0.5650899202563096,0.42342749659348117,7.481110482508411,1,1,0,0,1.0
82.764,24.887999999999998,14.966999999999999,111,103,0.05000000074505806,11433,2870,8563,7.175000213831665,2.947500087842346,4.2275001259893195,0.2510277267558821,,1.1056124588157363,0.2824547421653852,3.82367265517029,2,1,0,0,1.0
87.759,29.883000000000003,19.962000000000003,111,103,0.05000000074505806,11433,3649,7784,9.122500271871688,2.947500087842346,6.175000184029342,0.31916382401819293,,1.889987974866179,0.3093377509282307,3.267216652246988,2,2,0,0,1.0
92.76,34.88400000000001,24.963000000000008,111,103,0.05000000074505806,11433,4389,7044,10.972500327005985,2.947500087842346,8.025000239163639,0.3838887431120441,,3.3494211334303303,0.32147579374128255,2.3959364676680073,3,2,0,0,1.0
97.758,39.882,29.961,111,103,0.05000000074505806,11433,5611,5822,14.02750041805208,2.947500087842346,11.080000330209733,0.49077232572378204,,3.791592667193176,0.3698141026738004,2.9222549210202975,3,3,0,0,1.0
102.753,44.877,34.956,111,103,0.05000000074505806,11433,6557,4876,16.392500488534573,2.947500087842346,13.445000400692226,0.5735152628356512,,4.317923425322271,0.3846263989212789,3.113765362730755,4,3,0,0,1.0
107.733,49.857000000000006,39.93600000000001,111,103,0.05000000074505806,11433,7336,4097,18.340000546574597,2.947500087842346,15.39250045873225,0.6416513600979621,,5.312040869615091,0.38542919818540283,2.8976622801939373,4,4,0,0,1.0
112.731,54.855,44.934,111,103,0.05000000074505806,11433,7856,3577,19.640000585317615,2.947500087842346,16.69250049747527,0.687133735677425,,6.053466075331489,0.3714893064822911,2.757511199327434,5,5,0,0,1.0
117.735,59.859,49.938,111,103,0.05000000074505806,11433,8377,3056,20.942500624135143,2.947500087842346,17.995000536292796,0.7327035773637716,,6.744924318655415,0.3603468408084584,2.6679321644160505,6,5,0,0,1.0
122.733,64.857,54.93600000000001,111,103,0.05000000074505806,11433,8377,3056,20.942500624135143,2.947500087842346,17.995000536292796,0.7327035773637716,,7.067696203926516,0.3275629921416338,2.54609140193314,6,6,0,0,1.0
127.734,69.858,59.937,111,103,0.05000000074505806,11433,8473,2960,21.1825006312877,2.947500087842346,18.235000543445352,0.7411003236245954,,8.04901798985969,0.3042361236539258,2.265493823770572,7,6,0,0,1.0
