ros_time_s,collector_elapsed_s,exploration_elapsed_s,map_width_cells,map_height_cells,map_resolution_m,total_cells,known_cells,unknown_cells,explored_area_m2,initial_explored_area_m2,newly_explored_area_m2,known_fraction,coverage_pct,path_length_m,area_per_second,area_per_meter,goals_seen,goals_succeeded,goals_aborted,goals_canceled,goal_success_rate
58.377,0.0,0.0,111,102,0.05000000074505806,11322,1186,10136,2.9650000883638867,2.9650000883638867,0.0,0.10475181063416357,,0.0,0.0,0.0,0,0,0,0,0.0
62.958,4.580999999999996,0.0,111,102,0.05000000074505806,11322,1186,10136,2.9650000883638867,2.9650000883638867,0.0,0.10475181063416357,,0.0,0.0,0.0,0,0,0,0,0.0
67.95,9.573,0.0,111,102,0.05000000074505806,11322,1186,10136,2.9650000883638867,2.9650000883638867,0.0,0.10475181063416357,,0.0,0.0,0.0,0,0,0,0,0.0
72.924,14.547000000000004,4.953000000000003,111,102,0.05000000074505806,11322,1186,10136,2.9650000883638867,2.9650000883638867,0.0,0.10475181063416357,,0.1142701171395771,0.0,0.0,1,1,0,0,1.0
77.922,19.544999999999995,9.950999999999993,112,103,0.05000000074505806,11536,2715,8821,6.7875002022832644,2.9650000883638867,3.8225001139193777,0.2353502080443828,,0.8457410636376578,0.38413225946330826,4.5197049998710455,2,1,0,0,1.0
82.923,24.546,14.951999999999998,112,103,0.05000000074505806,11536,2715,8821,6.7875002022832644,2.9650000883638867,3.8225001139193777,0.2353502080443828,,1.166480606043385,0.255651425489525,3.276951279014413,2,2,0,0,1.0
87.906,29.529000000000003,19.935000000000002,112,103,0.05000000074505806,11536,3450,8086,8.625000257045032,2.9650000883638867,5.660000168681146,0.2990638002773925,,1.3765411878148117,0.2839227573955929,4.111755041391899,3,2,0,0,1.0
92.904,34.526999999999994,24.932999999999993,112,103,0.05000000074505806,11536,3450,8086,8.625000257045032,2.9650000883638867,5.660000168681146,0.2990638002773925,,1.4005085052994528,0.22700838923038333,4.04138935769686,3,2,0,0,1.0
97.905,39.528,29.933999999999997,112,103,0.05000000074505806,11536,3450,8086,8.625000257045032,2.9650000883638867,5.660000168681146,0.2990638002773925,,1.4140752763976812,0.18908265412845413,4.002615888384559,3,2,0,0,1.0
102.906,44.529,34.935,112,103,0.05000000074505806,11536,3450,8086,8.625000257045032,2.9650000883638867,5.660000168681146,0.2990638002773925,,1.431066073519796,0.16201517586034478,3.9550935302099806,3,2,0,0,1.0
107.901,49.523999999999994,39.92999999999999,112,103,0.05000000074505806,11536,3450,8086,8.625000257045032,2.9650000883638867,5.660000168681146,0.2990638002773925,,1.4480188437278467,0.14174806332785242,3.908789027986528,3,2,0,0,1.0
112.887,54.51,44.916,112,103,0.05000000074505806,11536,3450,8086,8.625000257045032,2.9650000883638867,5.660000168681146,0.2990638002773925,,1.4641727027122047,0.12601300580374802,3.865664315552853,3,2,0,0,1.0
117.888,59.511,49.917,112,103,0.05000000074505806,11536,3450,8086,8.625000257045032,2.9650000883638867,5.660000168681146,0.2990638002773925,,1.4814050149424032,0.11338822783182374,3.820697318822838,3,2,0,0,1.0
122.883,64.506,54.91199999999999,112,103,0.05000000074505806,11536,3450,8086,8.625000257045032,2.9650000883638867,5.660000168681146,0.2990638002773925,,1.4960995392361518,0.10307401239585422,3.7831708521018017,3,2,0,0,1.0
127.878,69.501,59.907,112,103,0.05000000074505806,11536,3450,8086,8.625000257045032,2.9650000883638867,5.660000168681146,0.2990638002773925,,1.8429599847580742,0.094479779803381,3.071146533560866,3,2,0,0,1.0
132.879,74.50199999999998,64.90799999999999,112,103,0.05000000074505806,11536,3450,8086,8.625000257045032,2.9650000883638867,5.660000168681146,0.2990638002773925,,1.9403563373058548,0.0872003477026121,2.9169900702568583,3,3,0,0,1.0
137.877,79.5,69.906,112,103,0.05000000074505806,11536,4274,7262,10.685000318437817,2.9650000883638867,7.72000023007393,0.37049237170596394,,2.7983634721004256,0.11043401467790934,2.7587553607821254,4,3,0,0,1.0
142.875,84.49799999999999,74.904,112,103,0.05000000074505806,11536,4926,6610,12.315000367015603,2.9650000883638867,9.350000278651716,0.42701109570041607,,3.6463708916448025,0.12482644823576466,2.564193428615849,4,3,0,0,1.0
147.867,89.48999999999998,79.89599999999999,112,103,0.05000000074505806,11536,4926,6610,12.315000367015603,2.9650000883638867,9.350000278651716,0.42701109570041607,,3.7455448539840113,0.11702713876353908,2.496299108180865,4,3,0,0,1.0
152.859,94.482,84.888,112,103,0.05000000074505806,11536,4926,6610,12.315000367015603,2.9650000883638867,9.350000278651716,0.42701109570041607,,3.7663654152822748,0.11014513569234421,2.4824995048843315,4,3,0,0,1.0
157.86,99.483,89.88900000000001,112,103,0.05000000074505806,11536,4926,6610,12.315000367015603,2.9650000883638867,9.350000278651716,0.42701109570041607,,3.78416099737285,0.10401717984015525,2.47082518030891,4,3,0,0,1.0
162.825,104.44799999999998,94.85399999999998,112,103,0.05000000074505806,11536,4926,6610,12.315000367015603,2.9650000883638867,9.350000278651716,0.42701109570041607,,3.793015142835539,0.09857254600387667,2.4650574612950136,4,3,0,0,1.0
167.82,109.44299999999998,99.84899999999999,112,103,0.05000000074505806,11536,4926,6610,12.315000367015603,2.9650000883638867,9.350000278651716,0.42701109570041607,,3.8128156941913214,0.09364140130248393,2.4522560303389653,4,3,0,0,1.0
172.821,114.44399999999999,104.85,112,103,0.05000000074505806,11536,4926,6610,12.315000367015603,2.9650000883638867,9.350000278651716,0.42701109570041607,,3.837605601902047,0.08917501457941551,2.436415111031092,4,3,0,0,1.0
177.819,119.44199999999998,109.84799999999998,112,103,0.05000000074505806,11536,4926,6610,12.315000367015603,2.9650000883638867,9.350000278651716,0.42701109570041607,,3.86527617790826,0.08511761960756425,2.4189734053393255,4,3,0,0,1.0
182.82,124.44299999999998,114.84899999999999,112,103,0.05000000074505806,11536,4926,6610,12.315000367015603,2.9650000883638867,9.350000278651716,0.42701109570041607,,3.8824561646688793,0.0814112467557551,2.4082693743559997,4,3,0,0,1.0
187.821,129.444,119.85,112,103,0.05000000074505806,11536,4926,6610,12.315000367015603,2.9650000883638867,9.350000278651716,0.42701109570041607,,4.18321483296189,0.07801418672216702,2.235123141412158,4,3,0,0,1.0
192.822,134.445,124.851,112,103,0.05000000074505806,11536,4926,6610,12.315000367015603,2.9650000883638867,9.350000278651716,0.42701109570041607,,4.183566016189217,0.07488927023933903,2.2349355173241823,4,4,0,0,1.0
197.82,139.44299999999998,129.849,112,103,0.05000000074505806,11536,5748,5788,14.370000428259376,2.9650000883638867,11.405000339895489,0.49826629680998613,,4.498213871101004,0.08783279301261843,2.535450884887327,5,5,0,0,1.0
202.821,144.444,134.85,112,103,0.05000000074505806,11536,6357,5179,15.892500473633412,2.9650000883638867,12.927500385269525,0.5510575589459085,,5.7223649823775355,0.09586577964604764,2.2591184632718746,6,5,0,0,1.0
207.822,149.445,139.851,112,103,0.05000000074505806,11536,6950,4586,17.375000517815355,2.9650000883638867,14.410000429451468,0.6024618585298197,,6.324232544862783,0.10303823661934107,2.278537407856201,6,6,0,0,1.0
212.82,154.44299999999998,144.849,112,103,0.05000000074505806,11536,7651,3885,19.127500570043924,2.9650000883638867,16.162500481680038,0.6632281553398058,,7.112271658200275,0.11158171945736621,2.272480756980798,7,6,0,0,1.0
217.821,159.444,149.85,112,103,0.05000000074505806,11536,8017,3519,20.04250059731305,2.9650000883638867,17.077500508949164,0.6949549237170597,,7.545749186696353,0.11396396736035479,2.2631948248502494,7,7,0,0,1.0
222.822,164.445,154.851,112,103,0.05000000074505806,11536,8017,3519,20.04250059731305,2.9650000883638867,17.077500508949164,0.6949549237170597,,7.980878062401759,0.11028343703914838,2.139802209158158,8,7,0,0,1.0
227.841,169.464,159.87,112,103,0.05000000074505806,11536,8315,3221,20.787500619515782,2.9650000883638867,17.822500531151896,0.7207871012482663,,8.655717971244812,0.11148120680022452,2.0590435814059656,8,7,0,0,1.0
232.821,174.444,164.85,112,103,0.05000000074505806,11536,8315,3221,20.787500619515782,2.9650000883638867,17.822500531151896,0.7207871012482663,,9.259023328295472,0.10811343967941703,1.9248791043312887,8,7,0,0,1.0
237.822,179.445,169.851,112,103,0.05000000074505806,11536,8315,3221,20.787500619515782,2.9650000883638867,17.822500531151896,0.7207871012482663,,9.277555338661372,0.10493020665849419,1.9210341389053298,8,7,0,0,1.0
242.823,184.446,174.852,112,103,0.05000000074505806,11536,8315,3221,20.787500619515782,2.9650000883638867,17.822500531151896,0.7207871012482663,,9.298785872582744,0.10192906304275556,1.916648127547611,8,7,0,0,1.0
247.821,189.444,179.85,112,103,0.05000000074505806,11536,8315,3221,20.787500619515782,2.9650000883638867,17.822500531151896,0.7207871012482663,,9.312632183533784,0.09909647223326047,1.913798395545452,8,7,0,0,1.0
252.822,194.445,184.851,112,103,0.05000000074505806,11536,8315,3221,20.787500619515782,2.9650000883638867,17.822500531151896,0.7207871012482663,,9.323265628962114,0.09641549426917839,1.9116156549039498,8,7,0,0,1.0
257.823,199.44599999999997,189.85199999999998,112,103,0.05000000074505806,11536,8315,3221,20.787500619515782,2.9650000883638867,17.822500531151896,0.7207871012482663,,9.353091253000214,0.09387575864964234,1.9055197954403502,8,7,0,0,1.0
262.821,204.44400000000002,194.85000000000002,112,103,0.05000000074505806,11536,8315,3221,20.787500619515782,2.9650000883638867,17.822500531151896,0.7207871012482663,,9.375518069773879,0.0914677984662658,1.9009616747058058,8,7,0,0,1.0
267.822,209.445,199.851,112,103,0.05000000074505806,11536,8315,3221,20.787500619515782,2.9650000883638867,17.822500531151896,0.7207871012482663,,9.392122929969979,0.08917894096677972,1.8976008580851127,8,7,0,0,1.0
272.823,214.44599999999997,204.85199999999998,112,103,0.05000000074505806,11536,8315,3221,20.787500619515782,2.9650000883638867,17.822500531151896,0.7207871012482663,,9.407047594780805,0.0870018380643191,1.894590236902823,8,7,0,0,1.0
277.821,219.44400000000002,209.85000000000002,112,103,0.05000000074505806,11536,8315,3221,20.787500619515782,2.9650000883638867,17.822500531151896,0.7207871012482663,,9.686039328429686,0.08492971422993516,1.8400194266030616,8,8,0,0,1.0
282.819,224.442,214.848,112,103,0.05000000074505806,11536,8495,3041,21.237500632926828,2.9650000883638867,18.27250054456294,0.7363904299583911,,10.209956243371204,0.08504850193887278,1.7896747164246007,9,8,0,0,1.0
287.817,229.44,219.846,112,103,0.05000000074505806,11536,8495,3041,21.237500632926828,2.9650000883638867,18.27250054456294,0.7363904299583911,,10.449156532454543,0.08311500115791481,1.748705791497093,9,9,0,0,1.0
292.818,234.44099999999997,224.84699999999998,112,103,0.05000000074505806,11536,8495,3041,21.237500632926828,2.9650000883638867,18.27250054456294,0.7363904299583911,,10.666548972507048,0.08126637466616385,1.7130658277255537,10,9,0,0,1.0
297.816,239.43899999999996,229.84499999999997,112,103,0.05000000074505806,11536,8495,3041,21.237500632926828,2.9650000883638867,18.27250054456294,0.7363904299583911,,10.675529839526844,0.07949923010969542,1.7116246986550325,10,10,0,0,1.0
302.811,244.43399999999997,234.83999999999997,112,103,0.05000000074505806,11536,8529,3007,21.322500635460024,2.9650000883638867,18.357500547096137,0.7393377253814147,,10.999571381743886,0.0781702458997451,1.6689287164011037,11,10,0,0,1.0
307.815,249.438,239.844,112,103,0.05000000074505806,11536,8556,2980,21.39000063747168,2.9650000883638867,18.425000549107793,0.7416782246879334,,12.351122819195185,0.07682076912121126,1.491767252162131,11,10,0,0,1.0
312.813,254.43599999999998,244.84199999999998,112,103,0.05000000074505806,11536,8556,2980,21.39000063747168,2.9650000883638867,18.425000549107793,0.7416782246879334,,12.433792272896696,0.07525261413118581,1.4818488313714868,11,11,0,0,1.0
317.814,259.437,249.84300000000002,112,103,0.05000000074505806,11536,8556,2980,21.39000063747168,2.9650000883638867,18.425000549107793,0.7416782246879334,,12.433792272896696,0.07374631488217717,1.4818488313714868,11,11,0,0,1.0
322.812,264.435,254.841,112,103,0.05000000074505806,11536,8556,2980,21.39000063747168,2.9650000883638867,18.425000549107793,0.7416782246879334,,12.433792272896696,0.07229998528144134,1.4818488313714868,11,11,0,0,1.0
327.813,269.436,259.842,112,103,0.05000000074505806,11536,8556,2980,21.39000063747168,2.9650000883638867,18.425000549107793,0.7416782246879334,,12.433792272896696,0.07090847726352088,1.4818488313714868,11,11,0,0,1.0
332.811,274.43399999999997,264.84,112,103,0.05000000074505806,11536,8556,2980,21.39000063747168,2.9650000883638867,18.425000549107793,0.7416782246879334,,12.433792272896696,0.06957030867356817,1.4818488313714868,11,11,0,0,1.0
337.812,279.435,269.841,112,103,0.05000000074505806,11536,8556,2980,21.39000063747168,2.9650000883638867,18.425000549107793,0.7416782246879334,,12.433792272896696,0.06828095266882273,1.4818488313714868,11,11,0,0,1.0
342.813,284.436,274.842,112,103,0.05000000074505806,11536,8556,2980,21.39000063747168,2.9650000883638867,18.425000549107793,0.7416782246879334,,12.433792272896696,0.06703851867293861,1.4818488313714868,11,11,0,0,1.0
347.811,289.43399999999997,279.84,112,103,0.05000000074505806,11536,8556,2980,21.39000063747168,2.9650000883638867,18.425000549107793,0.7416782246879334,,12.433792272896696,0.06584119693077399,1.4818488313714868,11,11,0,0,1.0
352.812,294.435,284.841,112,103,0.05000000074505806,11536,8556,2980,21.39000063747168,2.9650000883638867,18.425000549107793,0.7416782246879334,,12.433792272896696,0.06468521227319028,1.4818488313714868,11,11,0,0,1.0
357.813,299.436,289.842,112,103,0.05000000074505806,11536,8556,2980,21.39000063747168,2.9650000883638867,18.425000549107793,0.7416782246879334,,12.433792272896696,0.06356911886168255,1.4818488313714868,11,11,0,0,1.0
362.811,304.43399999999997,294.84,112,103,0.05000000074505806,11536,8556,2980,21.39000063747168,2.9650000883638867,18.425000549107793,0.7416782246879334,,12.433792272896696,0.06249152268724662,1.4818488313714868,11,11,0,0,1.0
367.812,309.435,299.841,112,103,0.05000000074505806,11536,8556,2980,21.39000063747168,2.9650000883638867,18.425000549107793,0.7416782246879334,,12.433792272896696,0.06144923659241996,1.4818488313714868,11,11,0,0,1.0
372.813,314.436,304.842,112,103,0.05000000074505806,11536,8556,2980,21.39000063747168,2.9650000883638867,18.425000549107793,0.7416782246879334,,12.433792272896696,0.06044114836245594,1.4818488313714868,11,11,0,0,1.0
377.811,319.43399999999997,309.84,112,103,0.05000000074505806,11536,8556,2980,21.39000063747168,2.9650000883638867,18.425000549107793,0.7416782246879334,,12.433792272896696,0.05946617786311578,1.4818488313714868,11,11,0,0,1.0
382.812,324.435,314.841,112,103,0.05000000074505806,11536,8556,2980,21.39000063747168,2.9650000883638867,18.425000549107793,0.7416782246879334,,12.433792272896696,0.058521604711926946,1.4818488313714868,11,11,0,0,1.0
387.813,329.436,319.842,112,103,0.05000000074505806,11536,8556,2980,21.39000063747168,2.9650000883638867,18.425000549107793,0.7416782246879334,,12.433792272896696,0.05760656995987955,1.4818488313714868,11,11,0,0,1.0
392.808,334.431,324.837,112,103,0.05000000074505806,11536,8556,2980,21.39000063747168,2.9650000883638867,18.425000549107793,0.7416782246879334,,12.433792272896696,0.05672075702308479,1.4818488313714868,11,11,0,0,1.0
397.812,339.435,329.841,112,103,0.05000000074505806,11536,8556,2980,21.39000063747168,2.9650000883638867,18.425000549107793,0.7416782246879334,,12.433792272896696,0.05586024948113725,1.4818488313714868,11,11,0,0,1.0
402.813,344.436,334.842,112,103,0.05000000074505806,11536,8556,2980,21.39000063747168,2.9650000883638867,18.425000549107793,0.7416782246879334,,12.433792272896696,0.055025954178710534,1.4818488313714868,11,11,0,0,1.0
407.814,349.437,339.843,112,103,0.05000000074505806,11536,8556,2980,21.39000063747168,2.9650000883638867,18.425000549107793,0.7416782246879334,,12.433792272896696,0.054216213219362444,1.4818488313714868,11,11,0,0,1.0
