ros_time_s,collector_elapsed_s,exploration_elapsed_s,map_width_cells,map_height_cells,map_resolution_m,total_cells,known_cells,unknown_cells,explored_area_m2,initial_explored_area_m2,newly_explored_area_m2,known_fraction,coverage_pct,path_length_m,area_per_second,area_per_meter,goals_seen,goals_succeeded,goals_aborted,goals_canceled,goal_success_rate
0.0,0.0,0.0,111,102,0.05000000074505806,11322,1182,10140,2.955000088065863,2.955000088065863,0.0,0.10439851616322204,,0.0,0.0,0.0,0,0,0,0,0.0
57.66,57.66,0.0,111,102,0.05000000074505806,11322,1182,10140,2.955000088065863,2.955000088065863,0.0,0.10439851616322204,,0.0,0.0,0.0,0,0,0,0,0.0
62.655,62.655,0.0,111,102,0.05000000074505806,11322,1182,10140,2.955000088065863,2.955000088065863,0.0,0.10439851616322204,,0.0,0.0,0.0,0,0,0,0,0.0
67.656,67.656,0.0,111,102,0.05000000074505806,11322,1182,10140,2.955000088065863,2.955000088065863,0.0,0.10439851616322204,,0.0,0.0,0.0,0,0,0,0,0.0
72.642,72.642,4.97699999999999,111,102,0.05000000074505806,11322,1182,10140,2.955000088065863,2.955000088065863,0.0,0.10439851616322204,,0.15019817673856092,0.0,0.0,1,0,0,0,0.0
77.637,77.637,9.971999999999994,111,102,0.05000000074505806,11322,1182,10140,2.955000088065863,2.955000088065863,0.0,0.10439851616322204,,0.17430534101495257,0.0,0.0,1,0,0,0,0.0
82.617,82.617,14.951999999999998,111,102,0.05000000074505806,11322,1182,10140,2.955000088065863,2.955000088065863,0.0,0.10439851616322204,,0.19248024185833865,0.0,0.0,1,0,0,0,0.0
87.612,87.612,19.94699999999999,111,102,0.05000000074505806,11322,1182,10140,2.955000088065863,2.955000088065863,0.0,0.10439851616322204,,0.21143766182532917,0.0,0.0,1,0,0,0,0.0
92.613,92.613,24.947999999999993,111,102,0.05000000074505806,11322,1182,10140,2.955000088065863,2.955000088065863,0.0,0.10439851616322204,,0.2286339969437848,0.0,0.0,1,0,0,0,0.0
97.611,97.611,29.945999999999998,111,102,0.05000000074505806,11322,1182,10140,2.955000088065863,2.955000088065863,0.0,0.10439851616322204,,0.24408423701596985,0.0,0.0,1,0,0,0,0.0
102.609,102.609,34.94399999999999,111,102,0.05000000074505806,11322,1182,10140,2.955000088065863,2.955000088065863,0.0,0.10439851616322204,,0.26437630202431533,0.0,0.0,1,0,0,0,0.0
107.598,107.598,39.93299999999999,111,102,0.05000000074505806,11322,1182,10140,2.955000088065863,2.955000088065863,0.0,0.10439851616322204,,0.2816656528288511,0.0,0.0,1,0,0,0,0.0
112.596,112.596,44.931,111,102,0.05000000074505806,11322,1182,10140,2.955000088065863,2.955000088065863,0.0,0.10439851616322204,,0.6191177338122799,0.0,0.0,1,0,0,0,0.0
117.582,117.582,49.91699999999999,111,102,0.05000000074505806,11322,1182,10140,2.955000088065863,2.955000088065863,0.0,0.10439851616322204,,0.6849704286632796,0.0,0.0,1,1,0,0,1.0
122.58,122.58,54.91499999999999,111,103,0.05000000074505806,11433,2837,8596,7.092500211372973,2.955000088065863,4.13750012330711,0.24814134522872386,,1.4986749581157375,0.07534371525643467,2.760772174714342,2,1,0,0,1.0
127.581,127.581,59.916,111,103,0.05000000074505806,11433,2837,8596,7.092500211372973,2.955000088065863,4.13750012330711,0.24814134522872386,,1.5820465122010683,0.06905501240581997,2.6152834897064388,2,2,0,0,1.0
132.579,132.579,64.914,111,103,0.05000000074505806,11433,2837,8596,7.092500211372973,2.955000088065863,4.13750012330711,0.24814134522872386,,1.7848364202467002,0.06373817856405567,2.3181396773241687,3,2,0,0,1.0
137.574,137.574,69.909,111,103,0.05000000074505806,11433,3731,7702,9.327500277981164,2.955000088065863,6.372500189915301,0.3263360447826467,,2.587324746633322,0.09115421748151598,2.462968824538676,3,3,0,0,1.0
142.566,142.566,74.901,111,103,0.05000000074505806,11433,5076,6357,12.690000378191474,2.955000088065863,9.735000290125612,0.4439779585410653,,3.442404277742069,0.1299715663359049,2.827965429008519,4,4,0,0,1.0
147.555,147.555,79.89,112,103,0.05000000074505806,11536,6260,5276,15.650000466406349,2.955000088065863,12.695000378340485,0.5426490984743412,,4.308264434367893,0.15890600047991593,2.9466622979476167,5,5,0,0,1.0
